Title,date,link,descr,technology,categories,imgLink
Medical Marijuana site,10/19/2014,http://apps.mypalmbeachpost.com/potreport,Developed a page to showcase all of Post's medical mariuana coverage while leveraging the CMS and paywall features.,"AngularJS, ASP.net web API","App, Presentation",./img/potreport.jpg
Insurance Explorer,12/7/2014,http://apps.mypalmbeachpost.com/insuranceexplorer/,Collected and cleaned data dn developed a Single-page-app to see how the property insurers stack up,"AngularJS, HighChartsJs","App, Presentation, Data",./img/insurance.jpg
Goodman trial jurors,10/10/2014,http://www.mypalmbeachpost.com/interactive/goodmanjurors ,Visualization to sort and classify entities based on attributes. Being converted into a resusable plugin- http://github.com/kavyasukumar/SVGClassifySortify,"D3, Jquery",Dataviz,./img/jurors.png
Goodman trial players,9/25/2014,http://www.mypalmbeachpost.com/interactive/goodmanplayers ,A forcedirected graph and list visualization of key players in a murder trial,"D3, Jquery",Dataviz,./img/players.jpg
Growing up in the National Parks,8/10/2014,http://www.mypalmbeachpost.com/nationalparks ,A full story presentation and visualization within the confines of the CMS,"D3, Jquery","Dataviz, Presentation",./img/parks.jpg
Death on the Tracks,7/15/2014,http://www.mypalmbeachpost.com/deathonthetracks ,"Experimental full page presentation within the confines of the CMS. Led to the development of a CSS-JS bootstrap framework for use with the CMS, Medley","Mapbox, LeafletJs, Jquery","Dataviz, Presentation, Mapping",./img/tracks.jpg
Image Slider plugin,8/28/2014,http://plugins.jquery.com/imgSlider/,A touch-friendly image comparison slider plugin,Jquery,Dataviz,./img/slider2.jpg
Palm Beach Property Map,8/15/2014,http://www.mypalmbeachpost.com/interactive/property-values-2014 ,Analyzed and cleaned Palm Beach County Property Appraiser Data into a single shapefile ready for visualization. Presentaion done by ESRI,"PostGIS, QGIS","Mapping, Data",./img/property.jpg
Gaming the Lottery,3/25/2014,http://www.mypalmbeachpost.com/gaming-the-lottery/animation/,Designed and developed the animated video for a Palm Beach Post Investigative story,Adobe After Effects,"Animation, Videography",./img/lottery.jpg
A 'jihad' to reclaim the word,2/21/2013,http://news.medill.northwestern.edu/chicago/news.aspx?id=216424 ,Shot and editted the video,Adobe Premiere,Videography,./img/jihad.jpg
Intersex - Straddling the gender divide,3/7/2013,http://news.medill.northwestern.edu/chicago/news.aspx?id=218194 ,Reported and wrote the story on intersex community in Chicago. It was published as the cover story of Windy City Times - A LGBT weekly.,Reporting,Reporting,./img/mugsie.jpg
Government eyes bitcoin regulation,8/26/2013,http://www.usatoday.com/story/news/politics/2013/08/26/bitcoin-virtual-currency-regualtions/2702653/,Reoperted and wrote on bitcoins for USA Today,Reporting,Reporting,./img/Usatoday.jpg
